iter	Passed	Remaining
430	1728	2282
431	1732	2278
432	1736	2274
433	1740	2270
434	1744	2265
435	1748	2261
436	1751	2256
437	1755	2252
438	1760	2249
439	1764	2246
440	1768	2242
441	1773	2239
442	1777	2235
443	1782	2231
444	1786	2227
445	1790	2223
446	1793	2219
447	1797	2215
448	1801	2210
449	1805	2206
450	1809	2202
451	1813	2198
452	1816	2193
453	1820	2189
454	1825	2186
455	1828	2181
456	1832	2177
457	1836	2173
458	1840	2169
459	1844	2165
460	1848	2161
461	1852	2157
462	1857	2154
463	1861	2150
464	1865	2145
465	1869	2142
466	1873	2138
467	1877	2133
468	1880	2129
469	1884	2125
470	1889	2121
471	1892	2117
472	1896	2113
473	1900	2109
474	1904	2105
475	1908	2100
476	1912	2096
477	1915	2092
478	1919	2088
479	1923	2083
480	1927	2079
481	1931	2075
482	1935	2071
483	1938	2066
484	1942	2062
485	1946	2059
486	1951	2055
487	1954	2051
488	1958	2046
489	1962	2042
490	1966	2038
491	1970	2034
492	1974	2030
493	1980	2028
494	1985	2025
495	1989	2021
496	1993	2017
497	1998	2014
498	2002	2010
499	2006	2006
500	2009	2001
501	2013	1997
502	2017	1993
503	2021	1989
504	2025	1985
505	2029	1980
506	2033	1976
507	2036	1972
508	2040	1968
509	2044	1964
510	2048	1960
511	2053	1956
512	2057	1953
513	2061	1949
514	2065	1945
515	2069	1940
516	2073	1937
517	2077	1933
518	2081	1929
519	2085	1925
520	2089	1921
521	2093	1916
522	2097	1912
523	2101	1908
524	2105	1904
525	2109	1900
526	2114	1897
527	2117	1893
528	2121	1889
529	2125	1885
530	2129	1881
531	2133	1876
532	2137	1872
533	2141	1868
534	2145	1864
535	2149	1860
536	2152	1856
537	2156	1851
538	2160	1848
539	2164	1844
540	2169	1840
541	2172	1835
542	2176	1831
543	2180	1827
544	2184	1823
545	2188	1819
546	2191	1815
547	2195	1811
548	2199	1806
549	2203	1802
550	2207	1798
551	2211	1794
552	2215	1790
553	2219	1786
554	2223	1782
555	2227	1778
556	2231	1774
557	2235	1770
558	2238	1766
559	2242	1762
560	2246	1757
561	2250	1754
562	2254	1750
563	2258	1746
564	2262	1742
565	2267	1738
566	2271	1734
567	2275	1730
568	2279	1726
569	2284	1723
570	2287	1718
571	2291	1714
572	2295	1710
573	2299	1706
574	2303	1702
575	2307	1698
576	2311	1694
577	2315	1690
578	2318	1686
579	2322	1682
580	2326	1677
581	2331	1674
582	2334	1669
583	2338	1665
584	2342	1661
585	2345	1657
586	2349	1653
587	2353	1649
