iter	Logloss
0	0.6725479126
1	0.6580214844
2	0.6401559448
3	0.6229571533
4	0.607619812
5	0.5934143677
6	0.5791323242
7	0.5665350342
8	0.5535357666
9	0.5420415649
10	0.5311786499
11	0.5212651978
12	0.5113045654
13	0.5038027344
14	0.4955855713
15	0.4883902283
16	0.4811243286
17	0.4731679077
18	0.4658927002
19	0.4592928772
20	0.4549061279
21	0.4484338989
22	0.4445204773
23	0.4408677979
24	0.4370787354
25	0.4328287964
26	0.428946106
27	0.4247146606
28	0.4209857178
29	0.4175524902
30	0.4143969421
31	0.4109332886
32	0.4071078491
33	0.4043799438
34	0.4013305664
35	0.3982485657
36	0.3954425049
37	0.3931326294
38	0.3910457458
39	0.3885800781
40	0.3865588684
41	0.3845869141
42	0.382634613
43	0.3809891357
44	0.3793887939
45	0.3775696716
46	0.3757175903
47	0.374619873
48	0.3730219421
49	0.3718553467
50	0.3706712036
51	0.3696643372
52	0.3683061218
53	0.3667293396
54	0.3657626038
55	0.3646173096
56	0.363104248
57	0.3621498413
58	0.3611455688
59	0.3602350769
60	0.3593346558
61	0.358592804
62	0.3574824524
63	0.3568740234
64	0.3558652039
65	0.3553180847
66	0.3546389465
67	0.3538592834
68	0.3530426636
69	0.3523644104
70	0.3515700073
71	0.3506265259
72	0.3502942505
73	0.3498075867
74	0.3487281494
75	0.3477228394
76	0.3470465698
77	0.3464946594
78	0.3457801514
79	0.3451773071
80	0.3447267151
81	0.3440530396
82	0.3433392334
83	0.3427841797
84	0.3422587891
85	0.3417962646
86	0.3414727783
87	0.3410491333
88	0.340712616
89	0.3402598267
90	0.3399410095
91	0.339524292
92	0.3392339172
93	0.3389398193
94	0.3383594971
95	0.3379603271
96	0.3377003784
97	0.337462616
98	0.3371274719
99	0.3365153809
100	0.3362494812
101	0.3358903198
102	0.3353372192
103	0.3351351318
104	0.3348506775
105	0.334489502
106	0.3341596985
107	0.3338894653
108	0.3336245728
109	0.3332185669
110	0.3330679932
111	0.3327424316
112	0.3324460144
113	0.332160675
114	0.331930603
115	0.3317113953
116	0.3314951172
117	0.3310921326
118	0.3307261353
119	0.3304821777
120	0.330242981
121	0.330096283
122	0.329769043
123	0.3294581299
124	0.3290708618
125	0.3288991089
126	0.3286724548
127	0.3284749451
128	0.3283479004
129	0.3281444397
130	0.3279068604
131	0.3277090454
132	0.3274351196
133	0.3273094482
134	0.3269464417
135	0.3267646484
136	0.3263360596
137	0.3261528931
138	0.3260025024
139	0.3259840698
140	0.3258894653
141	0.3257226257
142	0.3255121155
143	0.3254017944
144	0.3251010742
145	0.3249457397
146	0.3247818604
147	0.3246270142
148	0.3242625427
149	0.323894165
150	0.323675354
151	0.3234071655
152	0.3232348328
153	0.3228981323
154	0.3227583313
155	0.3225640564
156	0.322338562
157	0.3221373291
158	0.3219646301
159	0.3218403931
160	0.3216209106
161	0.3212451782
162	0.3210921631
163	0.3209431458
164	0.3208214417
165	0.3207188721
166	0.3205732422
167	0.3204768982
168	0.3202828979
169	0.3201611023
170	0.319952301
171	0.3198561401
172	0.3197071838
173	0.3196542664
174	0.3195194092
175	0.3193601074
176	0.3190829468
177	0.3187487183
178	0.3185609131
179	0.3184047546
180	0.3182470398
181	0.318121521
182	0.3179859009
183	0.3178951416
184	0.317772583
185	0.3176681519
186	0.3175122681
187	0.3173317566
188	0.3172028198
189	0.3170330811
190	0.3167261353
191	0.3166092529
192	0.3163612976
193	0.3161076355
194	0.3159561157
195	0.3158005981
196	0.315708374
197	0.3154998779
198	0.3153454285
199	0.3151113281
200	0.3148875427
201	0.3146493835
202	0.3144970703
203	0.3143128967
204	0.3140678101
205	0.3139050903
206	0.3137995911
207	0.3136642151
208	0.3135128174
209	0.3132013855
210	0.3130415039
211	0.3128959656
212	0.3127720947
213	0.3126125488
214	0.312487915
215	0.3124076843
216	0.3122423706
217	0.3120940247
218	0.3119719543
219	0.3117628174
220	0.3116116028
221	0.3115134888
222	0.3113768921
223	0.3112320557
224	0.3110708618
225	0.3108420715
226	0.3108134766
227	0.3107053833
228	0.3106964722
229	0.310583313
230	0.3104743042
231	0.3103320312
232	0.3101621094
233	0.3099967651
234	0.3098613281
235	0.3097195435
236	0.3096166382
237	0.3094927979
238	0.3093734741
239	0.3091998596
240	0.3090874634
241	0.3089897461
242	0.3088983765
243	0.3087937622
244	0.3087702026
245	0.3086673889
246	0.3085891724
247	0.3084403381
248	0.3082763062
249	0.3081028748
250	0.3079558716
251	0.3078187561
252	0.3076991272
253	0.3075411682
254	0.3074012146
255	0.3072026978
256	0.3071219177
257	0.3069179382
258	0.3067901001
259	0.3066736755
260	0.3065340576
261	0.3064224243
262	0.3063213501
263	0.3061877747
264	0.306083252
265	0.3060166321
266	0.305885437
267	0.305719696
268	0.3056433105
269	0.3055922546
270	0.3054402466
271	0.3052674255
272	0.3051383362
273	0.3050661621
274	0.304942627
275	0.304749115
276	0.3046336975
277	0.3044916992
278	0.3043642578
279	0.3042305298
280	0.3040303345
281	0.3038980103
282	0.3038308716
283	0.3036713867
284	0.3035100403
285	0.3034002686
286	0.3032398071
287	0.303105957
288	0.303027771
289	0.3028708496
290	0.3027201538
291	0.302671875
